상품이름,할인전가격,할인후가격,할인율,"상품용량
(숫자만)","상품설명
(chatGPT 이용)","카테고리1
(강아지/고양이/공용)
(D/C/Z)","카테고리2
(사료/간식/용품)
(1/2/3)","카테고리3
(주니어/어덜트/시니어/공용)
(j/a/s/z)(임의로 넣기)",auto increment,상품코드,긴 상품 설명,
펫모닝 닭가슴살,500,500,0,22,신선한 닭가슴살을 사용한 펫모닝 제품,C,2,z,120,C2z120,"펫모닝 닭가슴살로 반려동물에게 맛있고 건강한 간식을! 신선한 닭가슴살로 만들어진 이 간식은 고단백 저지방으로 반려동물의 건강을 지원하며, 부드럽고 씹기 좋은 식감으로 입맛을 사로잡습니다. 자연 재료로 안전하게 만들어져 간식이나 훈련 보상으로 적합합니다.",
슈퍼츄 터키츄 링S 10개입,9900,9900,0,10,맛있는 터키츄 링S 10개 세트,D,2,z,121,D2z121,"슈퍼츄 터키츄 링S 10개입으로 반려동물의 간식 시간을 더욱 즐겁게! 부드럽고 씹기 좋은 터키츄 링은 고단백 간식으로 반려동물의 건강을 지원합니다. 작은 사이즈로 설계되어 작은 입에도 적합하며, 맛있는 터키의 풍미가 입맛을 사로잡습니다. 10개입으로 넉넉하게 제공되어 훈련 보상이나 간식으로 적합합니다.",
New캐츠랑 키튼2kg,15700,15700,0,2000,새로운 캐츠랑 시리즈의 키튼용 사료 2kg,C,1,j,122,C1j122,"New캐츠랑 키튼 2kg로 고양이의 성장과 건강을 챙기세요! 이 사료는 새끼 고양이의 영양 요구를 충족시키기 위해 설계된 제품으로, 높은 단백질과 필수 비타민이 포함되어 있습니다. 부드럽고 소화가 잘 되는 성분으로 성장기 고양이의 건강을 지원하며, 맛있고 균형 잡힌 식사를 제공합니다.",
[위스카스 whiskas] 파우치 주니어 고등어80g,1200,1200,0,80,고등어를 주재료로 한 파우치 주니어 80g,C,1,j,123,C1j123,"[위스카스 whiskas] 파우치 주니어 고등어 80g으로 고양이에게 풍부한 맛과 영양을! 신선한 고등어와 부드러운 소스가 조화를 이루어 고양이의 입맛을 사로잡습니다. 주니어 고양이를 위해 설계된 이 제품은 필수 영양소를 제공하며, 간편하게 급여할 수 있는 파우치 형태로 실용적입니다.",
몰리스 쉬야응가 튀지않는 패드 L 20매,13900,13900,0,20,튀지 않는 패드 L 사이즈 20매,D,3,z,124,D3z124,"몰리스 쉬야응가 튀지않는 패드 L 20매로 깨끗한 배변 관리를! 튀지 않는 특수 설계로 액체를 빠르게 흡수하며 냄새를 효과적으로 차단해 줍니다. 대형 사이즈로 넉넉한 사용이 가능하며, 교체가 간편하여 일상적인 청결 유지에 유용합니다. 20매로 실용적이고 경제적인 선택입니다.",
밥이보약 DOG 알맞은체중 2kg,25800,25800,0,2000,알맞은 체중 관리를 위한 DOG 밥이보약 2kg,D,1,z,125,D1z125,"밥이보약 DOG 알맞은체중 2kg으로 반려견의 건강한 체중 관리를 도와주세요! 체중 조절을 위해 설계된 이 사료는 저칼로리 성분과 높은 단백질 함량으로 균형 잡힌 식사를 제공합니다. 소화가 잘 되는 재료로 만들어져 체중 관리에 도움을 주며, 맛있는 식사로 반려견의 만족감을 높입니다.",
너를위한디저트 고양이 캣닢비스켓 연어맛,4000,4000,0,100,연어맛 고양이 캣닢비스켓 디저트,C,2,z,126,C2z126,"너를위한디저트 고양이 캣닢비스켓 연어맛으로 고양이의 간식 시간을 더욱 특별하게! 연어의 풍미가 가득한 이 비스켓은 고양이의 식욕을 자극하며, 캣닢이 더해져 재미를 더해줍니다. 고단백 간식으로 건강에도 좋으며, 고양이의 훈련 보상이나 특별한 간식으로 적합합니다.",
자연소재 어포&오리고기180G,8200,8200,0,180,자연 소재로 만든 어포&오리고기 180g,D,2,z,127,D2z127,"자연소재 어포&오리고기 180g으로 반려동물의 간식을 자연스럽고 건강하게! 신선한 어포와 오리고기로 만든 이 간식은 고단백으로 반려동물의 에너지를 채워주며, 씹는 질감이 치아 건강에도 도움을 줍니다. 자연 재료로 만들어져 안전하고 맛있는 간식으로 간편하게 급여할 수 있습니다.",
건강백서 건강까지 챙기는 쌀로 만든 껌 120g,7150,7150,0,120,건강을 챙기는 쌀로 만든 껌 120g,D,2,z,128,D2z128,"건강백서 건강까지 챙기는 쌀로 만든 껌 120g으로 반려동물의 건강을 고려한 간식! 쌀을 주원료로 사용하여 소화가 잘 되며, 씹는 동안 치아 건강을 유지하는 데 도움을 줍니다. 부드러운 식감과 맛있는 맛으로 반려동물의 간식 시간에 즐거움을 더해줍니다.",
츄러스 스크래쳐,14500,14500,0,1,고양이를 위한 스크래쳐,C,3,z,129,C3z129,"츄러스 스크래쳐로 고양이의 스크래칭 본능을 충족시켜 주세요! 튼튼한 소재로 제작되어 오랫동안 사용할 수 있으며, 고양이가 스크래칭을 통해 스트레스를 해소하고 건강한 발톱을 유지할 수 있습니다. 디자인이 세련되어 집안 인테리어와 잘 어울리며, 고양이의 놀이와 운동에 유용한 아이템입니다.",
셰프요리 연어 야채 400g,9900,9900,0,400,연어와 야채로 만든 셰프요리 사료 400g,D,2,z,130,D2z130,"셰프요리 연어 야채 400g으로 반려동물에게 맛있고 건강한 식사를 제공하세요! 신선한 연어와 다양한 야채가 조화를 이루어 균형 잡힌 식사를 제공하며, 반려동물의 영양을 효과적으로 보충해 줍니다. 부드러운 식감과 맛있는 맛으로 반려동물의 입맛을 사로잡으며, 간편하게 급여할 수 있는 캔 타입입니다.",
건강한간식 연골 오리말이 220g,11000,11000,0,220,건강한 간식으로 인기 있는 연골 오리말이 220g,D,2,z,131,D2z131,"건강한간식 연골 오리말이 220g으로 반려동물의 씹는 재미와 건강을 동시에 챙기세요! 오리 연골로 만든 이 간식은 자연스러운 씹는 질감이 치아와 잇몸 건강을 도와줍니다. 고단백이며 영양이 풍부해 반려동물의 에너지를 충전해 주며, 건강한 간식으로 만족감을 제공합니다.",
[몰리스]프로발란스 어덜트 8kg,24500,24500,0,8000,어덜트 고양이를 위한 프로발란스 사료 8kg,D,1,a,132,D1a132,"[몰리스] 프로발란스 어덜트 8kg로 성견의 건강을 꼼꼼하게 관리하세요! 이 사료는 균형 잡힌 영양 성분과 고단백 함량으로 성견의 건강을 지원하며, 소화가 잘 되는 재료로 편안한 소화를 돕습니다. 8kg의 대용량으로 경제적이며, 건강한 식사를 제공합니다.",
건강백서 건강한 피부 2kg,26300,26300,0,2000,피부 건강을 지원하는 건강백서 사료 2kg,D,1,z,133,D1z133,"건강백서 건강한 피부 2kg으로 반려동물의 피부와 털을 건강하게 관리하세요! 이 사료는 피부와 모질 건강을 위해 특별히 설계된 영양 성분을 포함하고 있으며, 비타민과 오메가-3 지방산이 풍부하여 건강한 피부와 윤기 있는 털을 유지하는 데 도움을 줍니다. 2kg의 용량으로 장기간 사용 가능합니다.",
웅자 미니 칼슘 닭갈비 100g,4400,4400,0,100,칼슘이 풍부한 미니 칼슘 닭갈비 간식 100g,D,2,z,134,D2z134,"웅자 미니 칼슘 닭갈비 100g으로 반려동물에게 맛있고 건강한 간식을! 작은 사이즈와 부드러운 질감으로 소형견과 고양이에게 적합하며, 칼슘이 풍부하여 뼈와 치아 건강을 지원합니다. 맛있는 닭갈비 맛으로 반려동물의 입맛을 사로잡고, 간식으로 이상적인 선택입니다.",
쉬바참치와닭고기파우치6팩 420g,9900,9900,0,420,참치와 닭고기로 만든 파우치 사료 6팩 세트 420g,C,1,z,135,C1z135,"쉬바 참치와 닭고기 파우치 6팩 420g으로 고양이에게 풍부한 맛과 영양을! 신선한 참치와 닭고기가 조화를 이루어 고양이의 입맛을 사로잡으며, 부드러운 식감과 맛으로 간편하게 급여할 수 있습니다. 6팩의 파우치로 실용적이며, 고양이의 식사를 만족스럽게 채워줍니다.",
펫츠루트 셰프요리 닭가슴살 야채 400g,9900,9900,0,400,닭가슴살과 야채로 조리한 셰프요리 사료 400g,D,2,z,136,D2z136,"펫츠루트 셰프요리 닭가슴살 야채 400g으로 반려동물에게 맛있고 건강한 식사를 제공하세요! 신선한 닭가슴살과 다양한 야채가 조화를 이루어 영양이 풍부하며, 부드러운 식감과 풍미로 반려동물의 입맛을 사로잡습니다. 간편하게 급여할 수 있는 캔 타입으로 실용적입니다.",
에티펫 부드럽게칫솔(누구나),3300,3300,0,1,"부드러운 사용감의 칫솔, 에티펫 부드럽게칫솔",Z,3,z,137,Z3z137,"에티펫 부드럽게 칫솔(누구나)으로 반려동물의 구강 건강을 효과적으로 관리하세요! 부드러운 브리슬이 치아와 잇몸을 자극 없이 깨끗하게 닦아주며, 편안한 그립으로 사용이 용이합니다. 초보자도 쉽게 사용할 수 있으며, 정기적인 칫솔질로 구강 질환을 예방하고 상쾌한 입냄새를 유지할 수 있습니다.",
펫모닝 바닐라향 물고기,2000,2000,0,1,바닐라 향을 더한 펫모닝 물고기 간식,D,3,z,138,D3z138,"펫모닝 바닐라향 물고기로 반려동물에게 특별한 간식을! 바닐라 향이 가미된 물고기로 반려동물의 입맛을 사로잡으며, 씹기 좋은 질감이 치아 건강을 도와줍니다. 고단백 간식으로 영양이 풍부하고, 자연 재료로 만들어져 안전하고 맛있는 간식입니다.",
슈퍼츄 터키츄 본S 1개입,1090,1090,0,1,소형견을 위한 터키츄 본S 간식,D,2,z,139,D2z139,"슈퍼츄 터키츄 본S 1개입으로 반려동물에게 고단백 간식을 제공하세요! 부드러운 터키츄 본은 씹기 좋은 질감으로 반려동물의 치아 건강을 지원하며, 맛있고 풍부한 터키의 풍미가 입맛을 사로잡습니다. 1개입으로 간편하게 급여할 수 있으며, 훈련 보상이나 간식으로 적합합니다.",
순살듬뿍 안심치킨 300g,13500,10800,0.2,300,순살 안심치킨으로 만든 간편 간식 300g,D,2,z,140,D2z140,"순살듬뿍 안심치킨 300g으로 반려동물에게 신선하고 맛있는 간식을! 부드러운 치킨이 풍부하게 들어간 이 간식은 고단백으로 반려동물의 에너지를 충전하며, 자연 재료로 만들어져 건강하게 급여할 수 있습니다. 300g의 넉넉한 양으로 오랫동안 간식으로 즐길 수 있습니다.",
건강백서 얇게 썰어 먹기 좋은 오리고기 120g,8030,8030,0,120,얇게 썰어 먹기 좋은 오리고기 간식 120g,D,2,z,141,D2z141,"건강백서 얇게 썰어 먹기 좋은 오리고기 120g으로 반려동물의 간식 시간을 더욱 건강하게! 신선한 오리고기를 얇게 썰어 부드럽고 먹기 쉬운 형태로 제공하며, 고단백과 낮은 지방 함량으로 건강을 지원합니다. 자연 재료로 만들어져 안전하게 급여할 수 있으며, 간식이나 훈련 보상으로 적합합니다.",
우드스틱SS 216,6900,6900,0,1,장난감으로 사용하기 좋은 소형 우드스틱,D,3,z,142,D3z142,"우드스틱 SS 216으로 반려동물의 씹는 재미를 더해보세요! 견고한 나무로 만들어져 오랜 사용이 가능하며, 씹는 동안 치아 건강을 유지하는 데 도움을 줍니다. 다양한 장난감과 함께 제공되어 반려동물이 흥미롭게 놀 수 있으며, 튼튼한 내구성으로 오랜 시간 즐길 수 있습니다.",
불리스틱 중소형 6p,13500,13500,0,6,중소형 강아지를 위한 6개 세트의 불리스틱 장난감,D,2,z,143,D2z143,"불리스틱 중소형 6p로 반려동물의 씹는 욕구를 충족하세요! 중소형 사이즈로 다양한 견종에게 적합하며, 튼튼하고 안전한 재질로 만들어져 치아 건강을 지원합니다. 6개의 세트로 넉넉하게 제공되며, 씹는 동안 스트레스를 해소하고 즐거운 시간을 보낼 수 있습니다.",
강아지 바비큐 장난감,2000,2000,0,1,강아지를 위한 바비큐 테마의 장난감,D,3,z,144,D3z144,"강아지 바비큐 장난감으로 반려견의 놀이 시간을 더욱 즐겁게! 바비큐 모양의 장난감은 씹기 좋고 튼튼한 재질로 만들어져 반려견이 오랜 시간 즐겁게 놀 수 있습니다. 장난감의 질감과 디자인이 강아지의 관심을 끌며, 놀이와 운동을 통해 스트레스를 해소하는 데 도움을 줍니다.",
포켄스 덴탈스틱 후레시 칼슘 M 큰별 220g,10500,10500,0,220,치아 건강을 도와주는 후레시 칼슘 덴탈스틱 M 사이즈 220g,D,2,z,145,D2z145,"포켄스 덴탈스틱 후레시 칼슘 M 큰별 220g으로 반려동물의 치아 건강을 유지하세요! 이 덴탈스틱은 칼슘과 신선한 성분으로 제작되어 치아와 뼈 건강을 지원하며, 씹는 동안 입냄새를 상쾌하게 해줍니다. M 사이즈로 다양한 반려동물에게 적합하며, 220g의 넉넉한 양으로 오랫동안 사용 가능합니다.",
포켄스 말티즈 전용 샴푸&린스,8200,8200,0,550,말티즈를 위한 전용 샴푸&린스 제품,D,3,z,146,D3z146,"포켄스 말티즈 전용 샴푸&린스로 말티즈의 털을 부드럽고 윤기 있게 관리하세요! 특별히 말티즈의 피부와 털에 맞춰 개발된 제품으로, 순한 성분으로 피부 자극 없이 효과적으로 세정합니다. 샴푸와 린스가 함께 제공되어 깨끗한 세정과 매끄러운 털 관리를 도와줍니다.",
몰리스 크런치홀릭 양고기 60g,2800,2800,0,60,풍부한 양고기 맛을 가진 크런치형 강아지 간식 60g,C,2,z,147,C2z147,"몰리스 크런치홀릭 양고기 60g으로 반려동물의 간식 시간을 특별하게! 양고기의 진한 맛과 바삭한 식감이 반려동물의 입맛을 사로잡으며, 고단백으로 건강을 지원합니다. 60g의 소용량으로 간편하게 제공할 수 있으며, 훈련 보상이나 간식으로 적합한 선택입니다.",
템테이션 풍부한 해산물 맛75g,4300,4300,0,75,풍부한 해산물 맛을 자랑하는 템테이션 간식 75g,C,2,z,148,C2z148,"템테이션 풍부한 해산물 맛 75g으로 고양이에게 특별한 간식을! 신선한 해산물의 풍미가 가득한 이 간식은 고양이의 입맛을 사로잡으며, 바삭한 식감과 함께 풍부한 영양을 제공합니다. 75g의 실용적인 양으로 간편하게 급여할 수 있으며, 고양이의 간식 시간에 만족감을 더해줍니다.",
템테이션 부드러운 우유맛 75g,4300,4300,0,75,부드러운 우유맛을 느낄 수 있는 템테이션 간식 75g,C,2,z,149,C2z149,"템테이션 부드러운 우유맛 75g으로 고양이에게 달콤한 간식을! 부드러운 우유 맛이 고양이의 입맛을 사로잡으며, 바삭한 식감으로 간식 시간을 즐겁게 합니다. 75g의 적당한 양으로 간편하게 급여할 수 있으며, 고양이의 기호를 충족시키는 간식으로 적합합니다.",
쉬바 참치살코기와 게살그레이비소스85g,2400,2400,0,85,신선한 참치 살과 고급스러운 게살 그레이비 소스로 만든 고양이용 캔 사료,C,2,z,150,C2z150,"쉬바 참치살코기와 게살그레이비소스 85g으로 고양이에게 풍부한 맛과 영양을 제공하세요! 신선한 참치와 게살이 조화를 이루는 이 캔은 고양이의 입맛을 사로잡으며, 부드러운 그레이비 소스가 더욱 맛있게 해줍니다. 85g의 실용적인 용량으로 간편하게 급여할 수 있습니다.",
